"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",D1,Dsnref,Dspref,EaDsn,EaDsp,Eakn,Eakp,Rpn,Rpp,brugn,brugp,brugs,c0,cpn,cpp,cps,ctn,ctp,efn,efp,en,ep,es,henv,knref,kpref,lambdan,lambdap,lambdas,ln1,lp,ls,rhon,rhop,rhos,sigma,sigman,sigmap,socn,socp,t1
4.11496295074292,200.,1,4.041314599493,200.,2,3.97688638677148,200.,3,3.91874134878752,200.,4,3.8648550787861,200.,5,.15e-8,.72e-13,.75e-13,5000,5000,5000,5000,.10e-4,.8e-5,1.5,1.5,1.5,1200,778.5,1116.7,700,30555.,45829.,.3260e-1,.25e-1,.38,.4,.45,2.87,.10307e-9,.160080e-9,1.874,1.678,.16,.465e-4,.43e-4,.16e-4,1592.75,2887.15,1100,100,48.24,59,.9867,.424,.363
4.08264715847191,268.308834308066,0,4.01304262546646,233.477312152721,0,3.95211129813954,221.868228937668,0,3.8967551733802,216.064873565134,0,3.84501546463746,212.583364411133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.05223449141874,336.617668616133,0,3.98728677791753,266.954624305442,0,3.9297050453242,243.736457875337,0,3.87662380536479,232.129747130269,0,3.82640748704112,225.166728822265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.02492830463386,404.926502924199,0,3.96425927848877,300.431936458164,0,3.90922288457272,265.604686813005,0,3.85771684908718,248.194620695403,0,3.80847421050724,237.750093233398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00084619023474,473.235337232265,0,3.94324866121557,333.909248610885,0,3.8899424030041,287.472915750674,0,3.83942614673497,264.259494260537,0,3.79066048776153,250.33345764453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97896752472736,541.544171540332,0,3.92342630113181,367.386560763606,0,3.87120130989648,309.341144688342,0,3.82115720192841,280.324367825671,0,3.7724121133674,262.916822055663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.95831358536037,609.853005848398,0,3.90406103686488,400.863872916327,0,3.85236049851636,331.20937362601,0,3.80231848828274,296.389241390806,0,3.75317336563686,275.500186466795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93805433465696,678.161840156465,0,3.8844597419236,434.341185069048,0,3.83278754623018,353.077602563679,0,3.78232169596282,312.45411495594,0,3.73253329247291,288.083550877928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.91742398932692,746.470674464531,0,3.86394208504253,467.818497221769,0,3.8118652869787,374.945831501347,0,3.76088355930398,328.518988521074,0,3.71094731422752,300.66691528906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.89568188745345,814.779508772597,0,3.84191732569441,501.295809374491,0,3.7895880721489,396.814060439015,0,3.73868825452375,344.583862086208,0,3.68919742438024,313.250279700193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.87239838192645,883.088343080664,0,3.8187442372615,534.773121527212,0,3.76678169458921,418.682289376684,0,3.71656112762627,360.648735651343,0,3.66807267104184,325.833644111325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.84829577559303,951.39717738873,0,3.7953546959015,568.250433679933,0,3.74433829530768,440.550518314352,0,3.69532721808629,376.713609216477,0,3.6481950052459,338.417008522458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.82436755946466,1019.7060116968,0,3.77268795445798,601.727745832654,0,3.72309003279758,462.418747252021,0,3.6754720633348,392.778482781611,0,3.62962675755817,351.00037293359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.80158890965532,1088.01484600486,0,3.75147456172687,635.205057985375,0,3.70329468820705,484.286976189689,0,3.65696168697157,408.843356346746,0,3.61229642149362,363.583737344723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78042503221655,1156.32368031293,0,3.73176066177107,668.682370138097,0,3.68487680458905,506.155205127357,0,3.63971804409746,424.90822991188,0,3.59613116755034,376.167101755855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7608061212781,1224.632514621,0,3.71345830666917,702.159682290818,0,3.66775272478556,528.023434065026,0,3.62366302465225,440.973103477014,0,3.58105596870343,388.750466166988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.74263620027782,1292.94134892906,0,3.69647910657084,735.636994443539,0,3.65184105274379,549.891663002694,0,3.6087173742863,457.037977042148,0,3.56699652147636,401.33383057812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72581870346247,1361.25018323713,0,3.68073332721285,769.11430659626,0,3.63705468457457,571.759891940362,0,3.59480061665462,473.102850607283,0,3.55387786199076,413.917194989253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.71025647490103,1429.55901754519,0,3.66613031553595,802.591618748981,0,3.62331199100213,593.628120878031,0,3.58183413422714,489.167724172417,0,3.5416242941374,426.500559400385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.69585210389189,1497.86785185326,0,3.65257881161048,836.068930901702,0,3.61052372090183,615.496349815699,0,3.56973818399682,505.232597737551,0,3.53015925926889,439.083923811518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.68250757594874,1566.17668616133,0,3.63998758156115,869.546243054424,0,3.59860752299554,637.364578753368,0,3.55842979567365,521.297471302685,0,3.51940531782509,451.66728822265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.67012483157766,1634.48552046939,0,3.62826485138618,903.023555207145,0,3.58747321651797,659.232807691036,0,3.54782615956735,537.36234486782,0,3.5092857463233,464.250652633783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65860525441622,1702.79435477746,0,3.6173179925825,936.500867359866,0,3.57703703159701,681.101036628704,0,3.5378485822313,553.427218432954,0,3.49972524921239,476.834017044915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.64785023834205,1771.10318908553,0,3.60705401699804,969.978179512587,0,3.56720870433423,702.969265566373,0,3.52841206642954,569.492091998088,0,3.49064458802154,489.417381456048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
